orgCode,school,stuPerCPU,classOnInternet
20020,Bellingham - South Elem,-,-
,,,
20025,Bellingham - Stall Brook,-,-
,,,
20505,Belmont - Belmont High,2.9,100
,,,
20015,Belmont - Daniel Butler,3.7,100
,,,
20010,Belmont - Mary Lee Burbank,4.5,100
,,,
20035,Belmont - Roger E Wellington,4.1,100
,,,
20005,Belmont - Winn Brook,5.1,100
,,,
20305,Belmont - Winthrop L Chenery Middle,4.1,100
,,,
420205,Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,-,-
,,,
440205,Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,-,-
,,,
20010,Berkley - Berkley Community School,2.5,100
,,,
20305,Berkley - Berkley Middle School,1.8,100
,,,
410305,Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,-,-
,,,
610505,Berkshire Hills - Monument Mt Reg High,2.1,100
,,,
610310,Berkshire Hills - Monument Valley Regional Middle School,1.1,100
,,,
610035,Berkshire Hills - Muddy Brook Regional Elementary School,1.8,100
,,,
20005,Berlin - Berlin Memorial,3.1,100
,,,
620505,Berlin-Boylston - Tahanto Reg High,5.1,100
,,,
30055,Beverly - Ayers/Ryal Side Sch,6,100
,,,
30505,Beverly - Beverly High,2.2,100
,,,
30305,Beverly - Briscoe Middle,3.9,100
,,,
30010,Beverly - Centerville Elementary,3.7,100
,,,
30015,Beverly - Cove Elementary,4.9,100
,,,
30033,Beverly - Hannah Elementary,3.8,100
,,,
30040,Beverly - North Beverly Elementary,4.1,100
,,,
30505,Billerica - Billerica Memorial High School,-,-
,,,
30030,Billerica - Eugene C Vining,-,-
,,,
30007,Billerica - Frederick J Dutile,-,-
,,,
30026,Billerica - Hajjar Elementary,-,-
,,,
30012,Billerica - John F Kennedy,-,-
,,,
30310,Billerica - Locke Middle,-,-
,,,
30305,Billerica - Marshall Middle School,-,-
,,,
30015,Billerica - Parker,-,-
,,,
30005,Billerica - Thomas Ditson,-,-
,,,
800605,Blackstone Valley Regional Vocational Technical - Blackstone Valley,1.2,100
,,,
620015,Blackstone-Millville - A F Maloney,3.3,100
,,,
620505,Blackstone-Millville - Blackstone Millville RHS,3.3,100
,,,
620405,Blackstone-Millville - Frederick W. Hartnett Middle School,1.8,100
,,,
620008,Blackstone-Millville - John F Kennedy Elem,6.8,100
,,,
620010,Blackstone-Millville - Millville Elem,4.1,100
,,,
800605,Blue Hills Regional Vocational Technical - Blue Hills Reg Voc Tech,1.6,100
,,,
30007,Boston - Agassiz,4,100
,,,
30541,Boston - Another Course To College,2.1,100
,,,
30003,Boston - Baldwin ELC,4.4,100
,,,
30021,Boston - Beethoven,3.4,100
,,,
30390,Boston - Blackstone,3.7,100
,,,
30548,Boston - Boston Adult Academy,2.3,100
,,,
30546,Boston - Boston Arts Academy,3.1,100
,,,
30558,Boston - Boston Community Leadership Academy,3.5,100
,,,
30507,Boston - Boston International High School,2.4,100
,,,
