orgCode,school,stuPerCPU,classOnInternet
70020,Dracut - Joseph A Campbell Elem,11.9,100
,,,
70410,Dracut - Lakeview Junior High,3.3,100
,,,
70025,Dracut - Parker Avenue,6,100
,,,
650020,Dudley-Charlton Reg - Charlton Elementary,5.2,100
,,,
650310,Dudley-Charlton Reg - Charlton Middle School,4.4,100
,,,
650005,Dudley-Charlton Reg - Dudley Elementary,3.8,100
,,,
650305,Dudley-Charlton Reg - Dudley Middle School,5,100
,,,
650030,Dudley-Charlton Reg - Heritage School,5.8,100
,,,
650010,Dudley-Charlton Reg - Mason Rd School,5.6,100
,,,
650505,Dudley-Charlton Reg - Shepherd Hill Reg High,4.5,100
,,,
80004,Duxbury - Alden School,2.1,100
,,,
80006,Duxbury - Chandler Elementary,3.5,100
,,,
80505,Duxbury - Duxbury High,1.8,100
,,,
80305,Duxbury - Duxbury Middle,2.5,100
,,,
80005,East Bridgewater - Central,5.9,100
,,,
80505,East Bridgewater - East Bridgewater High,2.7,100
,,,
80010,East Bridgewater - Gordon W Mitchell,3.1,100
,,,
80305,East Longmeadow - Birchland Park,3.1,100
,,,
80505,East Longmeadow - East Longmeadow High,3.1,100
,,,
80010,East Longmeadow - Mapleshade,3.9,100
,,,
80013,East Longmeadow - Meadow Brook,6.5,100
,,,
80015,East Longmeadow - Mountain View,3.3,100
,,,
80005,Eastham - Eastham Elementary,2.6,100
,,,
80005,Easthampton - Center School,2.9,100
,,,
80505,Easthampton - Easthampton High,2.3,100
,,,
80010,Easthampton - Maple,4.1,100
,,,
80020,Easthampton - Neil A Pepin,3.1,100
,,,
80305,Easthampton - White Brook Middle School,1.4,100
,,,
80003,Easton - Center School,4.5,100
,,,
80405,Easton - Easton Middle School,4.5,100
,,,
80030,Easton - F L Olmsted,4.4,100
,,,
80025,Easton - H H Richardson School,3.6,100
,,,
80020,Easton - Moreau Hall,4.2,100
,,,
80505,Easton - Oliver Ames High,3.5,100
,,,
80015,Easton - Parkview Elementary,6.4,100
,,,
80005,Edgartown - Edgartown Elementary,2.4,100
,,,
420305,Edward Brooke Charter (District) - Edward Brooke Charter School,-,-
,,,
450505,Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School) - Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),-,-
,,,
90030,Erving - Erving Elementary,2,100
,,,
910705,Essex Agricultural Technical - Essex Agr and Tech Inst,2.4,97.6
,,,
90505,Everett - Everett High,2.6,100
,,,
90028,Everett - George Keverian School,2.9,100
,,,
90038,Everett - Lafayette School,2.3,100
,,,
90018,Everett - Madeline English School,2.2,100
,,,
90058,Everett - Parlin School,2.4,100
,,,
90010,Everett - Sumner G. Whittier School,2.1,100
,,,
90015,Everett - Webster School,3.4,100
,,,
410205,Excel Academy Charter (District) - Excel Academy Charter School,-,-
,,,
90010,Fairhaven - East Fairhaven,2.6,100
,,,
90505,Fairhaven - Fairhaven High,3.6,100
,,,
90305,Fairhaven - Hastings Middle,5.5,100
,,,
90030,Fairhaven - Leroy Wood,4.7,100
,,,
90020,Fairhaven - Rogers,4.4,100
,,,
90055,Fall River - ACESE,4.3,100
,,,
90505,Fall River - B M C Durfee High,4.1,100
,,,
90009,Fall River - Carlton M. Viveiros Elementary School,4.6,100
,,,
90305,Fall River - Edmond P Talbot Middle,8.2,100
,,,
90310,Fall River - Henry Lord Middle,3.2,100
,,,
90140,Fall River - James Tansey,5.6,100
,,,
90045,Fall River - John J Doran,4.1,100
,,,
90013,Fall River - Letourneau Elementary School,3.9,100
,,,
90011,Fall River - Mary Fonseca Elementary School,5.6,100
,,,
90320,Fall River - Matthew J Kuss Middle,1,100
,,,
90315,Fall River - Morton Middle,6.2,100
,,,
90005,Fall River - North End Elementary,9.1,100
,,,
90325,Fall River - Resiliency Preparatory School,2.1,100
,,,
90145,Fall River - Samuel Watson,8.2,100
,,,
90130,Fall River - Spencer Borden,9.3,100
,,,
90326,Fall River - Stone Therapeutic Day Middle School,0.6,100
,,,
90065,Fall River - William S Greene,11.5,100
,,,
90005,Falmouth - East Falmouth Elem,3,96.7
,,,
90505,Falmouth - Falmouth High,2.1,100
,,,
90405,Falmouth - Lawrence,2.2,100
,,,
90305,Falmouth - Morse Pond School,3,100
,,,
90020,Falmouth - Mullen-Hall,11.1,100
,,,
90030,Falmouth - North Falmouth Elem,3,93.6
,,,
90015,Falmouth - Teaticket,3.8,97.1
,,,
660020,Farmington River Reg - Farmington River Elem,1.1,100
,,,
90315,Fitchburg - Arthur M Longsjo Middle School,2.1,100
,,,
90016,Fitchburg - Crocker Elementary,4,100
,,,
90510,Fitchburg - Fitchburg Alt. ED Program,4,100
,,,
90325,Fitchburg - Fitchburg Arts Academy,6.1,100
,,,
90505,Fitchburg - Fitchburg High,2.6,100
,,,
90030,Fitchburg - McKay Campus-FSC,6.2,100
,,,
90048,Fitchburg - Memorial Intermediate,5.1,100
,,,
90043,Fitchburg - Reingold Elementary,5.4,100
,,,
90060,Fitchburg - South Street Elementary,7.2,100
,,,
90005,Florida - Abbott Memorial,2,100
,,,
410505,Four Rivers Charter Public (District) - Four Rivers Charter Public School,-,-
,,,
90050,Foxborough - Charles Taylor Elem,3,100
,,,
90505,Foxborough - Foxborough High,2.5,100
,,,
90405,Foxborough - John J Ahern,1.9,100
,,,
90015,Foxborough - Mabelle M Burrell,3.5,100
,,,
90020,Foxborough - Vincent M Igo Elem,3,100
,,,
440550,Foxborough Regional Charter (District) - Foxborough Regional Charter School,-,-
,,,
100035,Framingham - Barbieri Elem,6.3,100
,,,
100003,Framingham - Blocks Pre-School @ King,8.2,100
,,,
100006,Framingham - Brophy,5.2,100
,,,
100302,Framingham - Cameron Middle School,3,100
,,,
100007,Framingham - Charlotte A Dunning,6.1,100
,,,
100515,Framingham - Framingham H S,2.7,100
,,,
100305,Framingham - Fuller Middle,2.5,100
,,,
100015,Framingham - Hemenway,7.6,100
,,,
100045,Framingham - Mary E Stapleton Elem,4.6,100
,,,
100050,Framingham - Miriam F McCarthy Sch,3.8,100
,,,
100039,Framingham - Potter Road,7.3,100
,,,
100310,Framingham - Walsh Middle,3.7,100
,,,
100055,Framingham - Woodrow Wilson,6.7,100
,,,
470505,Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,-,-
,,,
100040,Franklin - Annie Sullivan Middle School,3.1,100
,,,
100035,Franklin - Davis Thayer,3.1,100
,,,
100003,Franklin - Franklin ECDC,15.6,100
,,,
100505,Franklin - Franklin High,3.9,100
,,,
100012,Franklin - Helen Keller Elementary,6.1,100
,,,
100405,Franklin - Horace Mann,3.8,100
,,,
100013,Franklin - J F Kennedy Memorial,5.5,100
,,,
100010,Franklin - Jefferson Elementary,3.2,100
,,,
100030,Franklin - Oak Street Elementary,3,100
,,,
100032,Franklin - Parmenter,3.5,100
,,,
100310,Franklin - Remington Middle,2.8,100
,,,
810605,Franklin County Regional Vocational Technical - Franklin County Tech,1,100
,,,
100005,Freetown - Freetown Elementary,-,-
,,,
660505,Freetown-Lakeville - Apponequet Regional High,1.8,100
,,,
660305,Freetown-Lakeville - Freetown-Lakeville Middle School,7.8,100
,,,
660015,Freetown-Lakeville - George R Austin Intermediate School,3,100
,,,
670505,Frontier - Frontier Reg,1.9,100
,,,
100001,Gardner - Elm Street School,4.6,100
,,,
100515,Gardner - Gardner Academy for Learning and Technology,1.9,100
,,,
100505,Gardner - Gardner High,4.1,100
,,,
100405,Gardner - Gardner Middle School,4.6,100
,,,
100015,Gardner - Helen Mae Sauter Elem,3.9,100
,,,
100020,Gardner - Waterford Street,6.5,100
,,,
670059,Gateway - Chester Elementary,1.5,100
,,,
670505,Gateway - Gateway Reg High,1.1,100
,,,
670405,Gateway - Gateway Regional Junior High School,1.3,100
,,,
670410,Gateway - Gateway Regional Middle School,1,100
,,,
670143,Gateway - Littleville Elementary School,2,100
,,,
100505,Georgetown - Georgetown Middle/High,3.4,100
,,,
100010,Georgetown - Penn Brook,5.7,100
,,,
100005,Georgetown - Perley Elementary,6.3,100
,,,
670005,Gill-Montague - Gill Elem,3,100
,,,
670310,Gill-Montague - Great Falls Middle,3.6,100
,,,
670050,Gill-Montague - Montague Elementary School,5.6,100
,,,
670505,Gill-Montague - Turners Fall High,1.7,100
,,,
490305,Global Learning Charter Public (District) - Global Learning Charter Public School,-,-
,,,
100010,Gloucester - Beeman Memorial,4.4,100
,,,
100020,Gloucester - East Gloucester Elem,4.1,100
,,,
100505,Gloucester - Gloucester High,2.7,100
,,,
100025,Gloucester - Milton L Fuller Elem,3.1,100
,,,
100042,Gloucester - Plum Cove School,4.5,100
,,,
100305,Gloucester - Ralph B O'Maley Middle,3.7,100
,,,
100045,Gloucester - Veterans Memorial,5,100
,,,
100050,Gloucester - West Parish,5.1,100
,,,
440205,Gloucester Community Arts Charter (District) - Gloucester Community Arts Charter School,-,-
,,,
100005,Gosnold - Cuttyhunk Elem,-,-
,,,
110200,Grafton - Grafton Elementary,7.4,100
,,,
110505,Grafton - Grafton Memorial Senior,3.8,100
,,,
110305,Grafton - Grafton Middle,5,100
,,,
110025,Grafton - North Grafton Elementary,5.8,100
,,,
110005,Grafton - South Grafton Elementary,3.9,100
,,,
110004,Granby - East Meadow,3.4,100
,,,
110505,Granby - Granby Jr Sr High Sch,3,100
,,,
110010,Granby - West St,5.1,100
,,,
110005,Granville - Granville Village,2.5,100
,,,
820605,Greater Fall River Regional Vocational Technical - Diman Reg Voc Tech High,1.4,100
,,,
820605,Greater Lawrence Regional Vocational Technical - Gr Lawrence Reg Voc Tech,2,100
,,,
820605,Greater Lowell Regional Vocational Technical - Gr Lowell Reg Voc Tech,2,100
,,,
820605,Greater New Bedford Regional Vocational Technical - Gr New Bedford Voc Tech,1.6,100
,,,
110010,Greenfield - Federal,6.4,100
,,,
110025,Greenfield - Four Corners,2,100
,,,
110505,Greenfield - Greenfield High,2.2,90
,,,
110305,Greenfield - Greenfield Middle,2.9,92.6
,,,
110900,Greenfield - MAVA @ Greenfield,0.8,-
,,,
110035,Greenfield - Newton School,8.2,100
,,,
110005,Greenfield - The Academy of Early Learning at North Parish,-,100
,,,
670001,Groton-Dunstable - Boutwell School,25.7,100
,,,
670010,Groton-Dunstable - Florence Roche School,6.3,100
,,,
670305,Groton-Dunstable - Groton Dunstable Reg Middle,2.7,100
,,,
670505,Groton-Dunstable - Groton Dunstable Regional,2.9,100
,,,
670005,Groton-Dunstable - Swallow/Union School,5.1,100
,,,
110015,Hadley - Hadley Elem,-,-
,,,
110505,Hadley - Hopkins Academy,-,-
,,,
110005,Halifax - Halifax Elementary,6.6,100
,,,
670007,Hamilton-Wenham - Bessie Buker Elementary,2.5,100
,,,
670010,Hamilton-Wenham - Cutler School,2.3,100
,,,
670505,Hamilton-Wenham - Hamilton-Wenham Reg High,4.6,100
,,,
670310,Hamilton-Wenham - Miles River Middle,6.9,100
,,,
670015,Hamilton-Wenham - Winthrop School,2.1,100
,,,
490305,Hampden Charter School of Science (District) - Hampden Charter School of Science,-,-
,,,
680005,Hampden-Wilbraham - Green Meadows Elem,3.1,100
,,,
680025,Hampden-Wilbraham - Mile Tree Elementary,3.1,100
,,,
680505,Hampden-Wilbraham - Minnechaug Reg High,4.2,100
,,,
680030,Hampden-Wilbraham - Soule Road,2.8,100
,,,
680050,Hampden-Wilbraham - Stony Hill School,2.4,100
,,,
680305,Hampden-Wilbraham - Thornton Burgess,2.5,100
,,,
680310,Hampden-Wilbraham - Wilbraham Middle,3.4,100
,,,
680505,Hampshire - Hampshire Reg High,1.3,100
,,,
120005,Hancock - Hancock Elementary,-,-
,,,
120004,Hanover - Cedar Elementary,2.7,100
,,,
120005,Hanover - Center Elementary,5.5,100
,,,
120505,Hanover - Hanover High,2.5,100
,,,
120305,Hanover - Hanover Middle,4,100
,,,
120015,Hanover - Sylvester,2.7,100
,,,
120505,Harvard - Bromfield,3.2,100
,,,
120005,Harvard - Hildreth Elementary School,3.8,100
,,,
120005,Harwich - Harwich Elementary,3.5,100
,,,
120505,Harwich - Harwich High,1.9,100
,,,
120305,Harwich - Harwich Middle,2.2,100
,,,
120005,Hatfield - Hatfield Elementary,2.8,100
,,,
120505,Hatfield - Smith Academy,2.1,100
,,,
120008,Haverhill - Bradford Elementary,8.5,100
,,,
120035,Haverhill - Caleb Dustin Hunking,7.2,100
,,,
120100,Haverhill - Consentino,5.5,100
,,,
120020,Haverhill - Crowell,15.5,100
,,,
120050,Haverhill - Dr Paul Nettle,3.9,100
,,,
120026,Haverhill - Golden Hill,6,100
,,,
120027,Haverhill - Greenleaf,20.4,92.3
,,,
120033,Haverhill - Haverhill Alternative School,2.8,83.3
,,,
120505,Haverhill - Haverhill High,6.5,98.5
,,,
120085,Haverhill - John G Whittier,5,100
,,,
120045,Haverhill - Moody,8.8,100
,,,
120054,Haverhill - Pentucket Lake Elem,6.1,100
,,,
120073,Haverhill - TEACH,1.9,100
,,,
120075,Haverhill - Tilton,8.3,100
,,,
120080,Haverhill - Walnut Square,18,100
,,,
680005,Hawlemont - Hawlemont Reg,1.7,100
,,,
450050,Hill View Montessori Charter Public (District) - Hill View Montessori Charter Public School,-,-
,,,
450105,Hilltown Cooperative Charter Public (District) - Hilltown Cooperative Charter Public School,-,-
,,,
130005,Hingham - East Elementary School,6.1,100
,,,
130505,Hingham - Hingham High,3.6,100
,,,
130410,Hingham - Hingham Middle School,5.3,100
,,,
130019,Hingham - Plymouth River,5.8,100
,,,
130020,Hingham - South Elem,4.6,100
,,,
130010,Hingham - Wm L Foster Elem,4.2,100
,,,
130505,Holbrook - Holbrook Jr Sr High,3.3,100
,,,
130018,Holbrook - John F Kennedy,4.6,100
,,,
130025,Holbrook - South,3.2,100
,,,
130005,Holland - Holland Elementary,2,100
,,,
130505,Holliston - Holliston High,1.9,100
,,,
130007,Holliston - Miller School,2.7,100
,,,
130010,Holliston - Placentino Elementary,3.8,100
,,,
130305,Holliston - Robert H. Adams Middle School,2.2,100
,,,
130525,Holyoke - Center for Excellence,0.9,100
,,,
130045,Holyoke - E N White Elem,1.6,100
,,,
130505,Holyoke - Holyoke High,3,100
,,,
130003,Holyoke - Joseph Metcalf Preschool,7.4,100
,,,
130040,Holyoke - Kelly Elem,2.1,100
,,,
130055,Holyoke - Lt Clayre Sullivan Elem,3.2,100
,,,
130015,Holyoke - Lt Elmer J McMahon Elem,2.6,100
,,,
130060,Holyoke - Maurice A Donahue Elem,2.4,100
,,,
130025,Holyoke - Morgan Elem,1.2,100
,,,
130030,Holyoke - William R. Peck School,1.7,100
,,,
130605,Holyoke - Wm J Dean Voc Tech High,1.7,100
,,,
450005,Holyoke Community Charter (District) - Holyoke Community Charter School,-,-
,,,
130505,Hopedale - Hopedale Jr Sr High,2.4,100
,,,
130010,Hopedale - Memorial,4.3,100
,,,
130003,Hopedale - Park Street School,19.8,100
,,,
130005,Hopkinton - Center,7.2,100
,,,
130010,Hopkinton - Elmwood,4.9,100
,,,
130015,Hopkinton - Hopkins Elementary School,3.3,100
,,,
130505,Hopkinton - Hopkinton High,1.9,100
,,,
130305,Hopkinton - Hopkinton Middle School,2.6,100
,,,
130003,Hopkinton - Hopkinton Pre-School,4.3,100
,,,
140030,Hudson - C A Farley,2.5,100
,,,
140011,Hudson - C R Hubert,6.5,100
,,,
140015,Hudson - Forest Avenue Elementary,2.1,100
,,,
140505,Hudson - Hudson High,1.9,100
,,,
140410,Hudson - John F Kennedy,1.4,100
,,,
140007,Hudson - Mulready Elementary,2.2,100
,,,
140505,Hull - Hull High,1.5,100
,,,
140015,Hull - Lillian M Jacobs,4,100
,,,
140305,Hull - Memorial Middle,1.6,100
,,,
430305,Innovation Academy Charter (District) - Innovation Academy Charter School,-,-
,,,
140505,Ipswich - Ipswich High,3.2,100
,,,
140305,Ipswich - Ipswich Middle School,3.1,100
,,,
140007,Ipswich - Paul F Doyon Memorial,3.3,100
,,,
140015,Ipswich - Winthrop,3.6,100
,,,
420010,KIPP Academy Lynn Charter (District) - KIPP Academy Lynn Charter School,-,-
,,,
690510,King Philip - King Philip Middle School,-,-
,,,
690505,King Philip - King Philip Reg High,-,-
,,,
140005,Kingston - Kingston Elementary,3.8,100
,,,
140020,Kingston - Kingston Intermediate,7.1,100
,,,
140005,Lakeville - Assawompset,-,-
,,,
140005,Lanesborough - Lanesborough Elementary,3.9,100
,,,
140015,Lawrence - Alexander B Bruce,2.2,100
,,,
140008,Lawrence - Arlington Elementary School,3.1,100
,,,
140017,Lawrence - Arlington Middle School,2.9,100
,,,
140530,Lawrence - Business Management & Finance High School,1.7,100
,,,
140053,Lawrence - Edward F. Parthum,2.1,100
,,,
140080,Lawrence - Emily G Wetherbee,1.7,100
,,,
140040,Lawrence - Francis M Leahy,3.6,100
,,,
140525,Lawrence - Frost Middle School,2.9,100
,,,
140022,Lawrence - Gerard A. Guilmette,2,100
,,,
140025,Lawrence - Guilmette Middle School,1.8,100
,,,
140531,Lawrence - Health & Human Services High School,1.6,100
,,,
140050,Lawrence - Henry K Oliver,3,100
,,,
140536,Lawrence - High School Learning Center,1.9,100
,,,
140532,Lawrence - Humanities & Leadership Development High School,1.8,100
,,,
140534,Lawrence - International High School,2.1,100
,,,
140020,Lawrence - James F Hennessey,6.1,100
,,,
140045,Lawrence - James F Leonard,1.8,100
,,,
140003,Lawrence - John Breen School,6.9,100
,,,
140075,Lawrence - John K Tarbox,2.3,100
,,,
140002,Lawrence - Lawlor ECC,6,100
,,,
140533,"Lawrence - Math, Science & Technology High School",2.1,100
,,,
140027,Lawrence - Parthum Middle School,2,100
,,,
140535,Lawrence - Performing & Fine Arts High School,2.3,100
,,,
140018,Lawrence - Robert Frost,3.6,100
,,,
140001,Lawrence - Rollins Early Childhood Center,3,100
,,,
140537,Lawrence - School for Exceptional Studies,3.3,100
,,,
140004,Lawrence - South Lawrence East Elementary School,2,100
,,,
140016,Lawrence - South Lawrence East Middle School,2,100
,,,
450205,Lawrence Family Development Charter (District) - Lawrence Family Development Charter School,-,-
,,,
150025,Lee - Lee Elementary,2.6,100
,,,
150505,Lee - Lee Middle/High School,1.6,100
,,,
150505,Leicester - Leicester High,2,100
,,,
150005,Leicester - Leicester Memorial Elem,8,100
,,,
150015,Leicester - Leicester Middle,3.3,100
,,,
150010,Leicester - Leicester Primary School,8.5,100
,,,
150505,Lenox - Lenox Memorial High,3,100
,,,
150015,Lenox - Morris,3.6,100
,,,
150003,Leominster - Bennett,7.2,100
,,,
150007,Leominster - Fall Brook,4.4,100
,,,
150025,Leominster - Johnny Appleseed,4.2,100
,,,
150605,Leominster - Leominster Ctr Tech Educ,3.1,100
,,,
150505,Leominster - Leominster Senior High,2.4,100
,,,
150005,Leominster - Lincoln School,4.1,100
,,,
150030,Leominster - Northwest,4.2,100
,,,
150040,Leominster - Priest Street,3.2,100
,,,
150045,Leominster - Samoset School,2.7,100
,,,
150320,Leominster - Sky View Middle School,2.7,100
,,,
150010,Leominster - Southeast School,3,100
,,,
150005,Leverett - Leverett Elementary,1.9,100
,,,
150008,Lexington - Bowman,3,100
,,,
150006,Lexington - Bridge,3.1,100
,,,
150015,Lexington - Fiske,2.9,100
,,,
150030,Lexington - Harrington,3.7,100
,,,
150305,Lexington - Jonas Clarke Middle,3.3,100
,,,
150010,Lexington - Joseph Estabrook,3,100
,,,
150505,Lexington - Lexington High,3.2,100
,,,
150035,Lexington - Maria Hastings,2.6,100
,,,
150310,Lexington - Wm Diamond Middle,4.3,100
,,,
150305,Lincoln - Hanscom Middle,-,-
,,,
150006,Lincoln - Hanscom Primary,-,-
,,,
150025,Lincoln - Lincoln School,-,-
,,,
690505,Lincoln-Sudbury - Lincoln-Sudbury Reg High,1.5,100
,,,
150505,Littleton - Littleton High School,2.8,100
,,,
150305,Littleton - Littleton Middle School,2.5,100
,,,
150015,Littleton - Russell St Elementary,3.5,100
,,,
150005,Littleton - Shaker Lane Elementary,5,100
,,,
150005,Longmeadow - Blueberry Hill,1.6,100
,,,
150010,Longmeadow - Center,3.3,100
,,,
150017,Longmeadow - Glenbrook Middle,2.3,100
,,,
150505,Longmeadow - Longmeadow High,2.1,100
,,,
150305,Longmeadow - Williams Middle,2.7,100
,,,
150025,Longmeadow - Wolf Swamp Road,2.4,100
,,,
160020,Lowell - Abraham Lincoln,-,-
,,,
160310,Lowell - B.F.Butler Middle Sch,-,-
,,,
160090,Lowell - Bartlett Community Partnership,-,-
,,,
160030,Lowell - Charles W Morey,-,-
,,,
160080,Lowell - Charlotte M Murkland Elem,-,-
,,,
160345,Lowell - Dr An Wang School,-,-
,,,
160002,Lowell - Dr Gertrude Bailey,-,-
,,,
160015,Lowell - Greenhalge,-,-
,,,
160330,Lowell - Henry J Robinson Middle,-,-
,,,
160315,Lowell - James S Daley Middle Sch,-,-
,,,
160340,Lowell - James Sullivan Middle Sch,-,-
,,,
160050,Lowell - John J Shaughnessy,-,-
,,,
160010,Lowell - Joseph McAvinnue,-,-
,,,
160360,Lowell - Kathryn P. Stoklosa Middle School,-,-
,,,
160505,Lowell - Lowell High,-,-
,,,
160027,Lowell - Moody Elem,-,-
,,,
160036,Lowell - Pawtucketville Memorial,-,-
,,,
160040,Lowell - Peter W Reilly,-,-
,,,
160018,Lowell - Pyne Arts,-,-
,,,
160075,Lowell - S Christa McAuliffe Elementary,-,-
,,,
160055,Lowell - Washington,-,-
,,,
450050,Lowell Community Charter Public (District) - Lowell Community Charter Public School,-,-
,,,
450505,Lowell Middlesex Academy Charter (District) - Lowell Middlesex Academy Charter School,-,-
,,,
160020,Ludlow - Chapin Street Elementary School,4.7,100
,,,
160010,Ludlow - East Street Elementary School,7.3,100
,,,
160505,Ludlow - Ludlow Senior High,4.1,100
,,,
160305,Ludlow - Paul R Baird Middle,2.9,100
,,,
160023,Ludlow - Veterans Park Elem,3.8,100
,,,
160505,Lunenburg - Lunenburg High,2.8,100
,,,
160010,Lunenburg - Lunenburg Primary School,4.5,100
,,,
160015,Lunenburg - Thomas C Passios Elem,7.1,100
,,,
160020,Lunenburg - Turkey Hill Middle,4.3,100
,,,
160016,Lynn - A Drewicz Elem,5.8,100
,,,
160011,Lynn - Aborn,4,100
,,,
160405,Lynn - Breed Middle School,4.6,100
,,,
160020,Lynn - Brickett Elementary,5.9,100
,,,
160090,Lynn - Capt William G Shoemaker,5.9,100
,,,
160505,Lynn - Classical High,3,100
,,,
160035,Lynn - Cobbet Elementary,8.6,100
,,,
160045,Lynn - E J Harrington,4.7,100
,,,
160095,Lynn - Edward A Sisson,6.6,100
,,,
160525,Lynn - Fecteau-Leary Junior/Senior High School,2.1,100
,,,
160055,Lynn - Hood,6.2,100
,,,
160060,Lynn - Ingalls,7.6,100
,,,
160030,Lynn - Julia F Callahan,5.4,100
,,,
160070,Lynn - Lincoln-Thomson,4.7,100
,,,
160510,Lynn - Lynn English High,4.1,100
,,,
160605,Lynn - Lynn Voc Tech Institute,1.6,100
,,,
160075,Lynn - Lynn Woods,3.7,100
,,,
160420,Lynn - Pickering Middle,5.6,100
,,,
160050,Lynn - Robert L Ford,4.5,100
,,,
160085,Lynn - Sewell-Anderson,2.5,100
,,,
160305,Lynn - Thurgood Marshall Mid,5.3,100
,,,
160100,Lynn - Tracy,5.9,100
,,,
160005,Lynn - Washington Elementary School,0.9,100
,,,
160040,Lynn - Wm P Connery,5.3,100
,,,
160010,Lynnfield - Huckleberry Hill,1.9,100
,,,
160505,Lynnfield - Lynnfield High,3.2,100
,,,
160405,Lynnfield - Lynnfield Middle School,2.9,100
,,,
160005,Lynnfield - Lynnfield Preschool,10.6,100
,,,
160020,Lynnfield - Summer Street,2.6,100
,,,
460505,MATCH Charter Public School (District) - MATCH Charter Public School,-,-
,,,
460505,Ma Academy for Math and Science - Ma Academy for Math and Science School,-,-
,,,
160003,Malden - Beebe,2.6,100
,,,
160013,Malden - Ferryway,2.6,100
,,,
160027,Malden - Forestdale,1.8,100
,,,
160047,Malden - Linden,2.6,100
,,,
160049,Malden - Malden ELC,9.8,100
,,,
160505,Malden - Malden High,2.8,100
,,,
160057,Malden - Salemwood,2.9,100
,,,
690020,Manchester Essex Regional - Essex Elementary,1.9,100
,,,
690510,Manchester Essex Regional - Manchester Essex Regional High School,2,100
,,,
690030,Manchester Essex Regional - Manchester Essex Regional Middle School,1.6,100
,,,
690010,Manchester Essex Regional - Manchester Memorial Elementary,2.6,100
,,,
160007,Mansfield - Everett W Robinson,7.6,100
,,,
160035,Mansfield - Harold L Qualters Middle,4.9,100
,,,
160014,Mansfield - Jordan/Jackson Elementary,5.2,100
,,,
160505,Mansfield - Mansfield High,4.1,100
,,,
160003,Mansfield - Roland Green School,12.4,100
,,,
160025,Marblehead - Dr Samuel C Eveleth,13.5,100
,,,
160015,Marblehead - Elbridge Gerry,21.1,100
,,,
160020,Marblehead - Glover,10.2,100
,,,
160010,Marblehead - L H Coffin,5.8,100
,,,
160005,Marblehead - Malcolm L Bell,5.2,100
,,,
160505,Marblehead - Marblehead High,1.8,100
,,,
160300,Marblehead - Marblehead Veterans Middle School,2,100
,,,
160016,Marblehead - Village School,6.3,100
,,,
460305,Marblehead Community Charter Public (District) - Marblehead Community Charter Public School,-,-
,,,
160005,Marion - Sippican,2.8,100
,,,
170045,Marlborough - 1 LT Charles W. Whitcomb School,6.3,100
,,,
170030,Marlborough - Charles Jaworek School,4.4,100
,,,
170006,Marlborough - Early Childhood Center,10.5,100
,,,
170008,Marlborough - Francis J Kane,6.5,100
,,,
170505,Marlborough - Marlborough High,2.4,100
,,,
170025,Marlborough - Richer,5.2,100
,,,
170015,Marshfield - Daniel Webster,3.8,100
,,,
170005,Marshfield - Eames Way School,3.4,100
,,,
170310,Marshfield - Furnace Brook Middle,3.5,100
,,,
170020,Marshfield - Gov Edward Winslow,3.6,100
,,,
170505,Marshfield - Marshfield High,2.7,100
,,,
170025,Marshfield - Martinson Elementary,3,100
,,,
170010,Marshfield - South River,3.2,100
,,,
460550,Martha's Vineyard Charter (District) - Martha's Vineyard Charter School,-,-
,,,
700505,Marthas Vineyard - Marthas Vineyard Reg High,1.7,100
,,,
490005,Martin Luther King Jr. Charter School of Excellence (District) - Martin Luther King Jr. Charter School of Excellence,-,-
,,,
700405,Masconomet - Masconomet RMS,2.5,100
,,,
700505,Masconomet - Masconomet Regional HS,2.3,100
,,,
170005,Mashpee - Kenneth Coombs School,7.8,100
,,,
170505,Mashpee - Mashpee High,1.8,100
,,,
170020,Mashpee - Mashpee Middle School,1.5,100
,,,
170035,Mashpee - Quashnet School,4.4,100
,,,
170005,Mattapoisett - Center,16.3,11.8
,,,
170010,Mattapoisett - Old Hammondtown,3.2,100
,,,
170305,Maynard - Fowler School,1.7,100
,,,
170010,Maynard - Green Meadow,5.2,100
,,,
170505,Maynard - Maynard High,1.6,100
,,,
170005,Medfield - Dale Street,2.8,100
,,,
170505,Medfield - Medfield Senior High,1.6,100
,,,
170003,Medfield - Memorial School,5,100
,,,
170007,Medfield - Ralph Wheelock School,3.1,100
,,,
170305,Medfield - Thomas Blake Middle,2.5,100
,,,
170130,Medford - Brooks School,2.2,100
,,,
170140,Medford - Christopher Columbus,2.1,100
,,,
170510,Medford - Curtis-Tufts,1.1,100
,,,
170068,Medford - John J McGlynn Elementary School,1.9,100
,,,
170320,Medford - John J. McGlynn Middle School,1.8,100
,,,
170315,Medford - Madeleine Dugger Andrews,1.4,100
,,,
170505,Medford - Medford High,3.4,100
,,,
170605,Medford - Medford Voc Tech High,1.7,100
,,,
170150,Medford - Milton Fuller Roberts,2.3,100
,,,
170010,Medway - Francis J Burke Elem,14.9,100
,,,
170013,Medway - John D Mc Govern Elem,4.2,100
,,,
170505,Medway - Medway High,2.2,100
,,,
170305,Medway - Medway Middle,4.4,100
,,,
170015,Medway - Memorial Elementary,4,100
,,,
