Org Name,OrgCode,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% GED,% Dropped Out,% Permanently Excluded
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Voc Tech,8100605,286,96.9,0.7,0,0.3,2.1,0
Brockton - B B Russell Alternative School,440080,49,20.4,2,2,20.4,55.1,0
Brockton - Brockton Champion High School,440515,100,16,42,0,5,37,0
Brockton - Brockton High,440505,1021,78.5,7.4,1.4,0.7,11.9,0.1
Brockton - Goddard Alternative School,440400,8,50,37.5,0,0,12.5,0
Brookline - Brookline High,460505,434,91.5,5.5,0,0.5,2.5,0
Burlington - Burlington High,480505,269,94.8,1.1,0,0.4,3.7,0
Cambridge - Cambridge Rindge and Latin,490506,391,87.5,6.9,1.3,0.5,3.8,0
Canton - Canton High,500505,198,97,1.5,0,0,1,0.5
Cape Cod Regional Vocational Technical - Cape Cod Region Voc Tech,8150605,162,85.8,5.6,1.2,1.9,5.6,0
Carver - Carver Middle/High School,520405,117,88.9,0,1.7,4.3,5.1,0
Central Berkshire - Wahconah Regional High,6350505,172,87.2,1.7,0,2.9,8.1,0
Chatham - Chatham High,550505,54,92.6,3.7,0,0,3.7,0
Chelmsford - Chelmsford High,560505,399,95,1.5,1,0.8,1.8,0
Chelsea - Chelsea High,570505,352,56.8,14.5,2.8,2.8,23,0
Chicopee - Chicopee Academy,610021,43,9.3,25.6,0,14,51.2,0
Chicopee - Chicopee Comprehensive HS,610510,328,74.1,7.6,0.6,4.6,13.1,0
Chicopee - Chicopee High,610505,306,73.9,6.2,1.6,3.6,14.7,0
City On A Hill Charter Public (District) - City On A Hill Charter Public School,4370505,45,77.8,13.3,0,0,8.9,0
Clinton - Clinton Senior High,640505,139,84.2,5,0.7,3.6,5.8,0.7
Codman Academy Charter Public (District) - Codman Academy Charter Public School,4380505,23,43.5,26.1,0,4.3,26.1,0
Cohasset - Cohasset Middle/High School,650505,91,94.5,1.1,0,1.1,3.3,0
Community Charter School of Cambridge (District) - Community Charter School of Cambridge,4360305,26,69.2,23.1,0,0,7.7,0
Concord-Carlisle - Concord Carlisle High,6400505,298,98,0.7,0,0.3,1,0
Danvers - Danvers High,710505,256,90.6,1.6,0,3.1,4.7,0
Dartmouth - Dartmouth High,720505,288,95.5,2.4,0,0.3,1.7,0
Dedham - Dedham High,730505,207,86.5,5.8,0.5,1,5.8,0.5
Dennis-Yarmouth - Dennis-Yarmouth Reg High,6450505,219,85.4,5.5,0.5,1.8,6.8,0
