Org Name,OrgCode,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% GED,% Dropped Out,% Permanently Excluded
Stoughton - Stoughton High,2850505,288,85.8,5.6,1.4,1,6.3,0
Sturgis Charter Public (District) - Sturgis Charter Public School,4890505,81,95.1,3.7,0,0,1.2,0
Sutton - Sutton High School,2900510,105,94.3,0,0,1.9,3.8,0
Swampscott - Swampscott High,2910505,158,96.8,1.9,0.6,0,0.6,0
Swansea - Joseph Case High,2920505,145,91.7,1.4,0,0.7,5.5,0.7
Tantasqua - Tantasqua Reg Sr High,7700505,230,88.3,5.2,0.4,2.2,3.5,0.4
Tantasqua - Tantasqua Reg Voc,7700605,71,95.8,2.8,0,1.4,0,0
Taunton - Taunton High,2930505,467,83.1,2.1,2.4,0.6,11.8,0
Tewksbury - Tewksbury Memorial High,2950505,241,88.4,2.5,0,1.7,7.5,0
Tri County Regional Vocational Technical - Tri County Reg Voc Tech,8780605,206,90.8,5.8,0,0.5,2.9,0
Triton - Triton Regional High School,7730505,213,86.4,3.3,0,1.9,8.5,0
Tyngsborough - Tyngsborough High School,3010505,123,95.9,0,0,0,4.1,0
Upper Cape Cod Regional Vocational Technical - Upper Cape Cod Voc Tech,8790605,158,96.8,0,0,0.6,2.5,0
Uxbridge - Uxbridge High,3040505,104,79.8,7.7,0,4.8,7.7,0
Wachusett - Wachusett Regional High,7750505,495,93.1,2.4,0,1.6,2.6,0.2
Wakefield - Wakefield Memorial High,3050505,230,93.5,1.7,0,1.7,3,0
Walpole - Walpole High,3070505,286,95.8,1.7,0,0.3,2.1,0
Waltham - Waltham Sr High,3080505,379,81,2.9,1.6,1.6,12.9,0
Ware - Ware Junior/Senior High School,3090505,77,68.8,11.7,0,5.2,14.3,0
Wareham - Wareham Cooperative Junior/Senior High School,3100315,68,45.6,25,1.5,7.4,20.6,0
Wareham - Wareham Senior High,3100505,172,91.9,1.2,0,0,7,0
Watertown - Watertown High,3140505,173,87.3,6.4,1.2,0.6,4,0.6
Wayland - Wayland High School,3150505,231,97,1.3,0,0,1.7,0
Webster - Bartlett Jr Sr High Sch,3160505,129,76,5.4,2.3,3.1,13.2,0
Wellesley - Wellesley Sr High,3170505,290,99,0,0,0.3,0.7,0
West Boylston - West Boylston Jr-Sr High,3220505,71,91.5,2.8,4.2,1.4,0,0
West Bridgewater - West Bridgewater Jr-Sr,3230505,90,97.8,1.1,0,0,1.1,0
West Springfield - West Springfield High,3320505,361,78.1,6.9,0.3,2.2,11.9,0.6
Westborough - Westborough High,3210505,281,97.9,1.1,0.4,0.4,0.4,0
Westfield - Westfield High,3250505,401,86,4.2,1,1.7,7,0
Westfield - Westfield Voc Tech High,3250605,126,78.6,5.6,2.4,3.2,10.3,0
Westford - Westford Academy,3260505,394,97.7,0.5,0.5,0.3,1,0
Weston - Weston High,3300505,182,95.6,1.6,1.1,1.1,0.5,0
Westport - Westport High,3310505,138,78.3,6.5,0,4.3,10.9,0
Westwood - Westwood High,3350505,210,97.1,2.4,0,0,0.5,0
Weymouth - Weymouth High School,3360505,529,83.7,7.6,0,1.7,7,0
Whitman-Hanson - Whitman Hanson Regional,7800505,305,90.2,5.2,0,0.7,3.9,0
Whittier Regional Vocational Technical - Whittier Reg Voc,8850605,299,98.3,0,0,1.3,0.3,0
Wilmington - Wilmington High,3420505,256,93.4,2,0.4,1.6,2.7,0
Winchendon - Murdock Middle/High,3430505,105,75.2,5.7,0,2.9,16.2,0
Winchester - Winchester High School,3440505,276,94.9,4.3,0,0.4,0.4,0
Winthrop - Winthrop Sr High,3460505,147,89.8,2,0,1.4,6.8,0
Woburn - Woburn High,3470505,377,87,2.7,1.9,2.7,5.8,0
Worcester - Burncoat Senior High,3480503,304,66.1,8.2,3.9,7.6,13.5,0.7
Worcester - Claremont Academy,3480350,63,85.7,1.6,3.2,3.2,6.3,0
Worcester - Doherty Memorial High,3480512,376,78.7,5.6,3.5,4.8,6.4,1.1
Worcester - North High,3480515,303,55.1,16.2,4,6.6,18.2,0
Worcester - South High Community,3480520,354,63.6,14.7,3.1,3.1,14.7,0.8
Worcester - University Pk Campus Sch,3480285,42,95.2,0,0,0,2.4,2.4
Worcester - Worcester Technical High,3480605,358,95.8,3.1,0,0,1.1,0
